Identifiant;Geo Point;Marque;Nom
21360004;47.37861,4.38168;Avia;AVIA Creux Moreau
27600003;49.14759,1.33189;Elan;GARAGE POUPARDIN
27310003;49.35606,0.81532;Carrefour Market;Carrefour Market
29200009;48.40238,-4.4791;Intermarché;INTERMARCHE BREST CEDEX 2
29420001;48.62827,-3.98804;Système U;Super U PLOUENAN
5600005;44.67646,6.63422;Intermarché;INTERMARCHE
12310001;44.39367,2.77776;Total;MR MAJOREL
42510001;45.82099,4.17891;Carrefour Market;Carrefour Market
42450001;45.54196,4.18553;Elan;SARL GARAGE BARCET
42390001;45.47595,4.34445;Auchan;AUCHAN VILLARS
34420003;43.31218,3.2792;Carrefour Market;Carrefour Market
38610001;45.18136,5.78629;Total;SARL GGE GARCIA
13200001;43.6510755014,4.67285545973;Total;RELAIS CANTARELLES
16000003;45.6598055866,0.165332624577;Total Access;RELAIS TOTAL ACCESS ANGOULEME
17102001;45.7562474472,-0.65210476871;Système U;Hyper U Coop Atlantique Saintes
22420001;48.6087,-3.47749;Super Casino;SUPERMARCHE CASINO
22400004;48.46174,-2.51485;Leclerc;SAS TREGORDIS
2100012;49.86483,3.29121;CORA;CORA
3100005;46.35263,2.5874;Leclerc;Marais-Dis
1160002;46.0517092878,5.33286633509;Système U;SUPER U
1500006;45.97592,5.30925;Avia;LE RELAIS DE CHATEAU-GAILLARD
6130006;43.6438,6.90291;BP;BP GRASSE LES CAMPAGNETTES
13120006;43.45188,5.47465;Leader Price;Leader Gardanne
13150005;43.80743,4.66179;Total Access;TOTAL  LE  RELAIS D ARGENCE
20137002;41.5985079346,9.27576005359;VITO;SARL V.S.A CARBURANTS
17200002;45.62357,-1.01317;Total Access;RELAIS TOTAL  DE ROYAN
17170001;46.2146038719,-0.757434288266;Système U;Société COURDIS
17300003;45.92889,-0.95763;Leclerc;AUDIS-DISROCH
18000008;47.07224,2.3951;Total Access;RELAIS TOTAL ACCESS BOURGES CAMPING
18170001;46.64168,2.2839;Système U;U Express  LE CHATELET
20147001;42.2893007392,8.70022653959;Total;Mme bertolani evelyne
31600002;43.4716250039,1.33117260671;Avia;MENDES SARL
31270006;43.5241583074,1.3433411078;Total Access;RELAIS DU BLANQUET
31320004;43.5142632736,1.49981031168;Avia;AVIA SARL MARC AUTO
22600003;48.17716,-2.74737;Avia;ETS ROBIN JEAN SAS
22520001;48.61177,-2.83098;Système U;Super U BINIC
22810001;48.54944,-3.45286;Total;RELAIS PORZ AN PARK
29900003;47.88963,-3.91823;Leclerc;CONCARNEAU-DISTRIBUTION
30220002;43.57412,4.19582;Intermarché;INTERMARCHE AIGUES MORTES
3300003;46.1355406607,3.45484396671;Carrefour;CARREFOUR
8330002;49.7354395163,4.85041423467;Carrefour Contact;Carrefour Contact
6610001;43.7324113706,7.16295727023;Indépendant sans enseigne;SARL GARAGE GAUDOIS
9500001;43.0809415975,1.87658554696;Avia;SARL LA PARNI
31150001;43.6875479952,1.40426574746;Géant;GEANT CASINO
31100006;;Elf;RELAIS ELF D'ESPAGNE
35205001;48.0922,-1.69164;Système U;Super U RENNES ST JACQUES
35310002;48.0798143787,-1.83481192178;Système U;Super U MORDELLES
42440002;45.3935173764,4.27048192178;Total;RELAIS UNIEUX VIGNERON
43170003;44.96351,3.5446;Carrefour Contact;CARREFOUR CONTACT
40220003;43.53381,-1.4499;Carrefour Market;Carrefour Market
41400006;47.34219,1.17943;Esso Express;ESSO EXPRESS MONTRICHARD SAINT LUC
13127003;43.47222,5.23001;BP;BP VITROLLES CADESTEAUX
13200002;43.6695013704,4.62213493747;Total;RELAIS PT VAN GOGH
37700003;47.38116,0.74503;Total Access;RELAIS BRETECHE
38420002;45.20666,5.82805;Intermarché;INTERMARCHE DOMENE
9190002;42.9987,1.1382;Intermarché;INTERMARCHE SAINT LIZIER
24000010;45.1815,0.72129;Esso Express;ESSO EXPRESS PERIGUEUX FENELON
3400001;46.5577087947,3.33477681554;Total Access;Relais Lagarde Yzeure
3300002;46.133692098,3.44939219773;Total;Relais Lagarde Cusset
7300001;45.05476,4.83895;Carrefour Market;Carrefour Market
3100007;46.320058353,2.5809868851;Leclerc;LECLERC EXPRESS
4510002;44.0414,6.12604;Avia;EURL LE RELAIS DES MONTAGNES
13012019;43.3038,5.43663;Total Access;RELAIS FOURRAGERE
13580001;43.55066,5.20215;Elan;SARL LA FARE AUTOS
14800003;49.35733,0.0852;BP;BP DEAUVILLE
17000002;46.15322,-1.12874;Esso Express;ESSO EUROPE 234
16360001;45.4258204876,-0.172725926108;Total;LAUTRET SA
34790002;43.64602,3.81095;Esso;SARL GARAGE CLERGUE
34400016;43.67975,4.10417;BP;BP A9 AIRE AMBRUSSUM NORD
13750001;43.8105,5.00058;Total;STATION SERGE CURNIER
15200004;45.2225,2.34049;Intermarché;INTERMARCHE MAURIAC
15400001;45.27999,2.66163;Total;ROUX Hélène
13015015;43.37317,5.35319;Total;RELAIS SAINT ANTOINE
14640001;49.30689,-0.02705;Elan;GARAGE LION
18000001;47.09933,2.41603;Carrefour Market;CSF FRANCE
20145001;41.84921,9.39994;Total;SARL Relais de la Côte des Nacres
21160001;47.2674102031,4.99717729598;CORA;CORA
1600001;45.82834,4.97183;Carrefour Market;Carrefour Market
2100008;49.84389,3.27916;Esso Express;ESSO FAIDHERBE
3290001;46.52884,3.66935;Atac;ATAC DOMPIERRE  SUR BESBRE
6420001;44.18471,7.0543;Indépendant sans enseigne;SP AUTO
24100003;44.85548,0.57479;Total;SARL EVANO
24750004;45.19834,0.74134;Intermarché;INTERMARCHE TRELISSAC
25320001;47.18753,5.91233;Carrefour Contact;Carrefour Contact
29200010;48.41533,-4.47533;Intermarché;INTERMARCHE BREST
22200003;48.5625605107,-3.16559732183;Carrefour;CARREFOUR PAYS DE GUINGAMP
22110001;48.24262,-3.29499;Carrefour Market;Carrefour Market
13800009;43.49934,4.98601;Avia;SARL SUD AUTO 2000 - STATION AVIA
14123002;49.14448,-0.33842;Total Access;RELAIS DES CALLOUINS
38090003;45.6232205325,5.15669399445;Avia;AVIA TABAC PRESSE LOTO
38490003;45.5329241084,5.58670737542;Indépendant sans enseigne;STOP GARAGE  STATION BP
38980001;45.32076,5.20681;Elan;STATION ELAN / AGENT RENAULT
7150004;44.4064985395,4.39083404804;Indépendant sans enseigne;RELAIS DU PONT D'ARC
27100001;49.26986,1.20884;Simply Market;SIMPLY MARKET
27190002;48.9535972071,0.946259483827;Intermarché;INTERMARCHE CONCHES EN OUCHE
27230003;49.14151,0.44866;Total;GARAGE DU STADE
28130003;48.57925,1.56624;Intermarché;INTERMARCHE MAINTENON
30290001;44.105758402,4.66087927933;Système U;U EXPRESS LAUDUN                            LA STATION U
27700001;49.2441711809,1.4081919423;Carrefour Market;Carrefour Market
28400003;48.30526,0.80853;Indépendant sans enseigne;GS Carburants
