Identifiant;Marque;Nom;Latitude;Longitude
21360004;Avia;AVIA Creux Moreau;47.37861;4.38168
27600003;Elan;GARAGE POUPARDIN;49.14759;1.33189
27310003;Carrefour Market;Carrefour Market;49.35606;0.81532
29200009;Intermarché;INTERMARCHE BREST CEDEX 2;48.40238;-4.4791
29420001;Système U;Super U PLOUENAN;48.62827;-3.98804
5600005;Intermarché;INTERMARCHE;44.67646;6.63422
12310001;Total;MR MAJOREL;44.39367;2.77776
42510001;Carrefour Market;Carrefour Market;45.82099;4.17891
42450001;Elan;SARL GARAGE BARCET;45.54196;4.18553
42390001;Auchan;AUCHAN VILLARS;45.47595;4.34445
34420003;Carrefour Market;Carrefour Market;43.31218;3.2792
38610001;Total;SARL GGE GARCIA;45.18136;5.78629
13200001;Total;RELAIS CANTARELLES;43.6510755014;4.67285545973
16000003;Total Access;RELAIS TOTAL ACCESS ANGOULEME;45.6598055866;0.165332624577
17102001;Système U;Hyper U Coop Atlantique Saintes;45.7562474472;-0.65210476871
22420001;Super Casino;SUPERMARCHE CASINO;48.6087;-3.47749
22400004;Leclerc;SAS TREGORDIS;48.46174;-2.51485
2100012;CORA;CORA;49.86483;3.29121
3100005;Leclerc;Marais-Dis;46.35263;2.5874
1160002;Système U;SUPER U;46.0517092878;5.33286633509
1500006;Avia;LE RELAIS DE CHATEAU-GAILLARD;45.97592;5.30925
6130006;BP;BP GRASSE LES CAMPAGNETTES;43.6438;6.90291
13120006;Leader Price;Leader Gardanne;43.45188;5.47465
13150005;Total Access;TOTAL  LE  RELAIS D ARGENCE;43.80743;4.66179
20137002;VITO;SARL V.S.A CARBURANTS;41.5985079346;9.27576005359
17200002;Total Access;RELAIS TOTAL  DE ROYAN;45.62357;-1.01317
17170001;Système U;Société COURDIS;46.2146038719;-0.757434288266
17300003;Leclerc;AUDIS-DISROCH;45.92889;-0.95763
18000008;Total Access;RELAIS TOTAL ACCESS BOURGES CAMPING;47.07224;2.3951
18170001;Système U;U Express  LE CHATELET;46.64168;2.2839
20147001;Total;Mme bertolani evelyne;42.2893007392;8.70022653959
31600002;Avia;MENDES SARL;43.4716250039;1.33117260671
31270006;Total Access;RELAIS DU BLANQUET;43.5241583074;1.3433411078
31320004;Avia;AVIA SARL MARC AUTO;43.5142632736;1.49981031168
22600003;Avia;ETS ROBIN JEAN SAS;48.17716;-2.74737
22520001;Système U;Super U BINIC;48.61177;-2.83098
22810001;Total;RELAIS PORZ AN PARK;48.54944;-3.45286
29900003;Leclerc;CONCARNEAU-DISTRIBUTION;47.88963;-3.91823
30220002;Intermarché;INTERMARCHE AIGUES MORTES;43.57412;4.19582
3300003;Carrefour;CARREFOUR;46.1355406607;3.45484396671
8330002;Carrefour Contact;Carrefour Contact;49.7354395163;4.85041423467
6610001;Indépendant sans enseigne;SARL GARAGE GAUDOIS;43.7324113706;7.16295727023
9500001;Avia;SARL LA PARNI;43.0809415975;1.87658554696
31150001;Géant;GEANT CASINO;43.6875479952;1.40426574746
31100006;Elf;RELAIS ELF D'ESPAGNE;;
35205001;Système U;Super U RENNES ST JACQUES;48.0922;-1.69164
35310002;Système U;Super U MORDELLES;48.0798143787;-1.83481192178
42440002;Total;RELAIS UNIEUX VIGNERON;45.3935173764;4.27048192178
43170003;Carrefour Contact;CARREFOUR CONTACT;44.96351;3.5446
40220003;Carrefour Market;Carrefour Market;43.53381;-1.4499
41400006;Esso Express;ESSO EXPRESS MONTRICHARD SAINT LUC;47.34219;1.17943
13127003;BP;BP VITROLLES CADESTEAUX;43.47222;5.23001
13200002;Total;RELAIS PT VAN GOGH;43.6695013704;4.62213493747
37700003;Total Access;RELAIS BRETECHE;47.38116;0.74503
38420002;Intermarché;INTERMARCHE DOMENE;45.20666;5.82805
9190002;Intermarché;INTERMARCHE SAINT LIZIER;42.9987;1.1382
24000010;Esso Express;ESSO EXPRESS PERIGUEUX FENELON;45.1815;0.72129
3400001;Total Access;Relais Lagarde Yzeure;46.5577087947;3.33477681554
3300002;Total;Relais Lagarde Cusset;46.133692098;3.44939219773
7300001;Carrefour Market;Carrefour Market;45.05476;4.83895
3100007;Leclerc;LECLERC EXPRESS;46.320058353;2.5809868851
4510002;Avia;EURL LE RELAIS DES MONTAGNES;44.0414;6.12604
13012019;Total Access;RELAIS FOURRAGERE;43.3038;5.43663
13580001;Elan;SARL LA FARE AUTOS;43.55066;5.20215
14800003;BP;BP DEAUVILLE;49.35733;0.0852
17000002;Esso Express;ESSO EUROPE 234;46.15322;-1.12874
16360001;Total;LAUTRET SA;45.4258204876;-0.172725926108
